Fecha,Temp(C),SensTerm(C),TempApar(C),PtoRocio(C),Hum(%),Solar(Wm2),UV,PresRel(hPa),PresAbs(hPa),Viento(kmh),Rafaga(kmh),Dir(deg),Lluvia_Intens(mmh),Lluvia_1h(mm),Lluvia_Dia(mm),Lluvia_Ev(mm),Lluvia_Sem(mm),Lluvia_Mes(mm),Lluvia_Anio(mm)
2026-09-22 00:01,5.7,5.7,3.9,2.6,80,0.0,0,1017.5,1012.4,1.1,1.8,198,0,0,0,0,5.1,11.4,246.9
2026-09-22 00:10,5.7,5.7,3.6,2.4,79,0.0,0,1017.7,1012.6,2.9,1.8,302,0,0,0,0,5.1,11.4,246.9
2026-09-22 00:20,5.2,5.2,3.6,2.2,81,0.0,0,1017.8,1012.7,0.0,0.0,215,0,0,0,0,5.1,11.4,246.9
2026-09-22 00:31,4.9,4.9,3.0,2.1,82,0.0,0,1017.8,1012.7,1.1,1.8,216,0,0,0,0,5.1,11.4,246.9
2026-09-22 00:40,4.9,4.9,3.2,1.9,81,0.0,0,1018.0,1012.9,0.0,0.0,220,0,0,0,0,5.1,11.4,246.9
2026-09-22 00:50,4.4,4.4,2.6,1.8,83,0.0,0,1018.1,1013.0,0.4,0.0,216,0,0,0,0,5.1,11.4,246.9
2026-09-22 01:01,4.5,4.5,2.8,2.1,84,0.0,0,1018.1,1013.0,0.0,0.0,216,0,0,0,0,5.1,11.4,246.9
2026-09-22 01:10,4.5,4.5,2.6,2.1,84,0.0,0,1018.1,1013.0,1.4,1.8,221,0,0,0,0,5.1,11.4,246.9
2026-09-22 01:20,4.3,4.3,2.6,1.8,84,0.0,0,1018.0,1012.9,0.0,0.0,220,0,0,0,0,5.1,11.4,246.9
2026-09-22 01:31,4.1,4.1,2.4,1.7,84,0.0,0,1018.3,1013.2,0.0,0.0,221,0,0,0,0,5.1,11.4,246.9
2026-09-22 01:40,4.1,4.1,2.4,1.7,84,0.0,0,1018.3,1013.2,0.0,0.0,221,0,0,0,0,5.1,11.4,246.9
2026-09-22 01:50,3.9,3.9,2.1,1.4,84,0.0,0,1018.3,1013.2,0.0,0.0,221,0,0,0,0,5.1,11.4,246.9
2026-09-22 02:01,3.6,3.6,1.8,1.3,85,0.0,0,1018.6,1013.5,0.0,0.0,221,0,0,0,0,5.1,11.4,246.9
2026-09-22 02:10,3.5,3.5,1.6,1.2,85,0.0,0,1018.4,1013.3,0.4,0.0,222,0,0,0,0,5.1,11.4,246.9
2026-09-22 02:20,3.5,3.5,1.1,1.1,84,0.0,0,1018.3,1013.2,2.9,3.6,228,0,0,0,0,5.1,11.4,246.9
2026-09-22 02:31,3.1,3.1,0.8,0.8,85,0.0,0,1018.7,1013.6,2.2,3.6,203,0,0,0,0,5.1,11.4,246.9
2026-09-22 02:40,3.2,3.2,0.8,1.1,86,0.0,0,1018.6,1013.5,2.9,3.6,224,0,0,0,0,5.1,11.4,246.9
2026-09-22 02:50,3.1,1.5,0.1,1.0,86,0.0,0,1018.4,1013.3,6.1,7.2,209,0,0,0,0,5.1,11.4,246.9
2026-09-22 03:01,3.5,3.5,1.5,1.2,85,0.0,0,1018.1,1013.0,1.1,1.8,205,0,0,0,0,5.1,11.4,246.9
