Fecha,Temp(C),SensTerm(C),TempApar(C),PtoRocio(C),Hum(%),Solar(Wm2),UV,PresRel(hPa),PresAbs(hPa),Viento(kmh),Rafaga(kmh),Dir(deg),Lluvia_Intens(mmh),Lluvia_1h(mm),Lluvia_Dia(mm),Lluvia_Ev(mm),Lluvia_Sem(mm),Lluvia_Mes(mm),Lluvia_Anio(mm)
2026-08-12 00:01,6.0,4.8,3.4,3.3,83,0.0,0,1024.3,1019.2,6.1,7.2,166,0,0,0,0,0,32,227.6
2026-08-12 00:10,6.0,3.5,2.2,3.3,83,0.0,0,1024.6,1019.5,11.9,18.4,167,0,0,0,0,0,32,227.6
2026-08-12 00:20,6.0,5.1,3.5,3.3,83,0.0,0,1024.5,1019.4,5.4,5.4,172,0,0,0,0,0,32,227.6
2026-08-12 00:30,6.0,5.1,3.5,3.3,83,0.0,0,1024.3,1019.2,5.4,5.4,194,0,0,0,0,0,32,227.6
2026-08-12 00:40,5.7,3.9,2.7,3.4,85,0.0,0,1024.2,1019.1,8.3,9.4,131,0,0,0,0,0,32,227.6
2026-08-12 00:50,5.7,4.4,3.0,3.4,85,0.0,0,1024.1,1019.0,6.5,7.2,178,0,0,0,0,0,32,227.6
2026-08-12 01:01,5.6,3.9,2.7,3.3,85,0.0,0,1023.3,1018.2,7.6,7.2,163,0,0,0,0,0,32,227.6
2026-08-12 01:10,5.6,3.6,2.4,3.3,85,0.0,0,1023.4,1018.3,9.0,11.2,151,0,0,0,0,0,32,227.6
2026-08-12 01:20,5.6,3.9,2.7,3.3,85,0.0,0,1023.3,1018.2,7.6,9.4,97,0,0,0,0,0,32,227.6
2026-08-12 01:31,5.7,3.9,2.7,3.4,85,0.0,0,1023.3,1018.2,8.3,9.4,138,0,0,0,0,0,32,227.6
2026-08-12 01:40,5.6,3.5,2.3,3.3,85,0.0,0,1023.4,1018.3,9.4,9.4,154,0,0,0,0,0,32,227.6
2026-08-12 01:50,5.6,2.8,1.6,3.3,85,0.0,0,1023.1,1018.0,13.3,14.8,175,0,0,0,0,0,32,227.6
2026-08-12 02:01,5.4,3.7,2.5,3.2,86,0.0,0,1022.9,1017.8,7.6,9.4,157,0,0,0,0,0,32,227.6
2026-08-12 02:10,5.3,3.1,2.1,3.3,87,0.0,0,1022.8,1017.7,9.4,11.2,146,0,0,0,0,0,32,227.6
2026-08-12 02:20,5.2,3.3,2.1,3.2,87,0.0,0,1022.8,1017.7,8.3,9.4,182,0,0,0,0,0,32,227.6
2026-08-12 02:30,5.2,3.5,2.3,3.2,87,0.0,0,1022.9,1017.8,7.6,7.2,172,0,0,0,0,0,32,227.6
2026-08-12 02:40,5.3,4.0,2.7,3.3,87,0.0,0,1023.1,1018.0,6.1,7.2,182,0,0,0,0,0,32,227.6
2026-08-12 02:50,5.2,2.6,1.5,3.2,87,0.0,0,1022.6,1017.5,11.5,14.8,177,0,0,0,0,0,32,227.6
2026-08-12 03:01,5.2,3.8,2.5,3.2,87,0.0,0,1022.5,1017.4,6.5,7.2,138,0,0,0,0,0,32,227.6
2026-08-12 03:10,5.2,2.4,1.3,3.2,87,0.0,0,1022.1,1017.0,12.6,14.8,145,0,0,0,0,0,32,227.6
2026-08-12 03:20,5.2,2.6,1.4,3.2,87,0.0,0,1021.5,1016.4,11.9,14.8,170,0,0,0,0,0,32,227.6
2026-08-12 03:31,5.2,2.8,1.6,3.2,87,0.0,0,1021.6,1016.5,10.8,16.6,163,0,0,0,0,0,32,227.6
2026-08-12 03:40,5.2,3.9,2.6,3.4,88,0.0,0,1021.5,1016.4,6.1,7.2,152,0,0,0,0,0,32,227.6
2026-08-12 03:50,5.1,2.8,1.8,3.3,88,0.0,0,1021.4,1016.3,9.7,14.8,178,0,0,0,0,0,32,227.6
2026-08-12 04:01,5.2,3.9,2.6,3.4,88,0.0,0,1021.3,1016.2,6.1,7.2,180,0,0,0,0,0,32,227.6
2026-08-12 04:10,5.3,2.1,1.0,3.4,88,0.0,0,1021.0,1015.9,14.8,16.6,176,0,0,0,0,0,32,227.6
2026-08-12 04:20,5.2,2.3,1.2,3.4,88,0.0,0,1020.4,1015.3,13.3,16.6,142,0,0,0,0,0,32,227.6
2026-08-12 04:31,5.2,2.2,1.1,3.4,88,0.0,0,1020.3,1015.2,13.7,14.8,185,0,0,0,0,0,32,227.6
2026-08-12 04:40,5.2,1.9,0.7,3.6,89,0.0,0,1020.0,1014.9,15.8,18.4,179,0,0,0,0,0,32,227.6
2026-08-12 04:50,5.2,2.1,1.0,3.6,89,0.0,0,1020.1,1015.0,14.4,16.6,197,0,0,0,0,0,32,227.6
2026-08-12 05:01,5.2,1.8,0.7,3.6,89,0.0,0,1020.0,1014.9,16.2,18.4,140,0,0,0,0,0,32,227.6
2026-08-12 05:10,5.3,4.0,2.8,3.8,90,0.0,0,1020.0,1014.9,6.1,7.2,144,0,0,0,0,0,32,227.6
2026-08-12 05:20,5.3,2.8,1.8,3.8,90,0.0,0,1020.0,1014.9,11.2,13.0,204,0,0,0,0,0,32,227.6
2026-08-12 05:30,5.2,3.0,1.9,3.7,90,0.0,0,1019.9,1014.8,9.7,11.2,139,0,0,0,0,0,32,227.6
2026-08-12 05:40,5.2,2.8,1.8,3.9,91,0.0,0,1019.8,1014.7,10.4,11.2,147,0,0,0,0,0,32,227.6
2026-08-12 05:50,5.1,2.6,1.6,3.8,91,0.0,0,1019.8,1014.7,11.2,13.0,136,0,0,0,0,0,32,227.6
2026-08-12 06:01,5.0,1.4,0.2,3.8,92,0.0,0,1019.4,1014.3,17.6,20.2,143,0,0,0,0,0,32,227.6
2026-08-12 06:10,5.0,1.9,0.9,3.8,92,0.0,0,1019.3,1014.2,14.0,16.6,133,0,0,0,0,0,32,227.6
2026-08-12 06:20,4.9,2.9,1.9,3.7,92,0.0,0,1019.3,1014.2,8.3,11.2,166,0,0,0,0,0,32,227.6
2026-08-12 06:30,5.0,1.9,1.0,3.8,92,0.0,0,1019.3,1014.2,13.7,16.6,157,0,0,0,0,0,32,227.6
2026-08-12 06:40,5.0,2.6,1.7,3.9,93,0.0,0,1019.6,1014.5,10.4,13.0,162,0,0,0,0,0,32,227.6
2026-08-12 06:50,5.1,2.3,1.4,4.1,93,0.0,0,1019.7,1014.6,12.2,13.0,128,0,0,0,0,0,32,227.6
2026-08-12 07:01,5.1,3.3,2.3,4.1,93,0.0,0,1019.8,1014.7,7.9,7.2,115,0,0,0,0,0,32,227.6
2026-08-12 07:10,5.3,2.7,1.8,4.2,93,0.0,0,1019.9,1014.8,11.5,14.8,162,0,0,0,0,0,32,227.6
2026-08-12 07:20,5.4,3.4,2.4,4.2,92,0.0,0,1019.8,1014.7,8.6,9.4,113,0,0,0,0,0,32,227.6
2026-08-12 07:31,5.5,3.3,2.3,4.3,92,0.1,0,1020.1,1015.0,9.7,9.4,144,0,0,0,0,0,32,227.6
2026-08-12 07:40,5.5,4.2,3.0,4.3,92,0.2,0,1020.1,1015.0,6.5,7.2,182,0,0,0,0,0,32,227.6
2026-08-12 07:50,5.5,3.6,2.6,4.4,93,2.7,0,1020.1,1015.0,8.6,9.4,130,0,0,0,0,0,32,227.6
2026-08-12 08:01,5.5,3.7,2.7,4.4,93,3.7,0,1020.2,1015.1,7.9,9.4,174,0,0,0,0,0,32,227.6
2026-08-12 08:10,5.5,2.9,1.9,4.4,93,6.6,0,1020.2,1015.1,11.9,13.0,140,0,0,0,0,0,32,227.6
2026-08-12 08:20,5.6,4.1,3.0,4.6,93,14.1,0,1020.1,1015.0,7.2,9.4,148,0,0,0,0,0,32,227.6
2026-08-12 08:31,5.6,3.8,2.8,4.6,93,25.0,0,1020.0,1014.9,8.3,11.2,162,0,0,0,0,0,32,227.6
2026-08-12 08:40,5.7,3.8,2.8,4.7,93,33.7,0,1020.3,1015.2,8.6,11.2,185,0,0,0,0,0,32,227.6
2026-08-12 08:50,5.7,3.3,2.4,4.5,92,51.0,0,1020.5,1015.4,10.8,11.2,177,0,0,0,0,0,32,227.6
2026-08-12 09:01,5.9,4.6,3.4,4.7,92,42.0,0,1020.0,1014.9,6.5,9.4,159,0,0,0,0,0,32,227.6
2026-08-12 09:10,6.1,6.1,4.1,4.9,92,60.0,0,1020.1,1015.0,4.3,5.4,144,0,0,0,0,0,32,227.6
2026-08-12 09:20,6.2,3.3,2.2,4.9,91,77.5,0,1019.7,1014.6,14.4,16.6,179,0,0,0,0,0,32,227.6
2026-08-12 09:31,6.5,3.1,1.8,5.2,91,94.5,0,1019.7,1014.6,18.7,22.0,164,0,0,0,0,0,32,227.6
2026-08-12 09:40,6.6,5.7,4.4,5.1,90,81.2,0,1020.0,1014.9,5.8,5.4,125,0,0,0,0,0,32,227.6
