Fecha,Temp(C),SensTerm(C),TempApar(C),PtoRocio(C),Hum(%),Solar(Wm2),UV,PresRel(hPa),PresAbs(hPa),Viento(kmh),Rafaga(kmh),Dir(deg),Lluvia_Intens(mmh),Lluvia_1h(mm),Lluvia_Dia(mm),Lluvia_Ev(mm),Lluvia_Sem(mm),Lluvia_Mes(mm),Lluvia_Anio(mm)
2026-08-19 00:01,8.2,8.2,6.2,5.2,81,0.0,0,1020.9,1015.8,4.7,5.4,121,0,0,0,0,0.8,37.1,232.7
2026-08-19 00:10,8.0,8.0,6.0,5.1,82,0.0,0,1020.7,1015.6,4.7,5.4,131,0,0,0,0,0.8,37.1,232.7
2026-08-19 00:20,7.8,7.8,6.1,4.9,82,0.0,0,1020.9,1015.8,2.9,3.6,128,0,0,0,0,0.8,37.1,232.7
2026-08-19 00:30,7.7,7.7,5.9,5.0,83,0.0,0,1020.3,1015.2,3.6,3.6,139,0,0,0,0,0.8,37.1,232.7
2026-08-19 00:40,7.7,7.7,5.9,5.0,83,0.0,0,1020.7,1015.6,3.2,3.6,150,0,0,0,0,0.8,37.1,232.7
2026-08-19 00:50,7.5,7.5,5.8,4.8,83,0.0,0,1020.5,1015.4,2.5,1.8,142,0,0,0,0,0.8,37.1,232.7
2026-08-19 01:01,7.3,7.3,5.4,4.8,84,0.0,0,1020.6,1015.5,3.6,3.6,171,0,0,0,0,0.8,37.1,232.7
2026-08-19 01:10,7.2,7.2,5.1,4.9,85,0.0,0,1020.6,1015.5,4.7,5.4,188,0,0,0,0,0.8,37.1,232.7
2026-08-19 01:20,6.9,6.9,5.4,4.7,86,0.0,0,1020.5,1015.4,1.8,1.8,176,0,0,0,0,0.8,37.1,232.7
2026-08-19 01:30,6.7,6.7,4.7,4.7,87,0.0,0,1020.7,1015.6,4.3,5.4,184,0,0,0,0,0.8,37.1,232.7
2026-08-19 01:40,6.6,6.6,5.1,4.6,87,0.0,0,1020.6,1015.5,1.4,1.8,181,0,0,0,0,0.8,37.1,232.7
2026-08-19 01:50,6.4,6.4,4.5,4.6,88,0.0,0,1021.0,1015.9,3.6,3.6,202,0,0,0,0,0.8,37.1,232.7
2026-08-19 02:01,6.0,6.0,4.7,4.2,88,0.0,0,1021.1,1016.0,0.0,0.0,186,0,0,0,0,0.8,37.1,232.7
2026-08-19 02:10,5.8,5.8,4.4,4.1,89,0.0,0,1021.0,1015.9,0.4,0.0,188,0,0,0,0,0.8,37.1,232.7
2026-08-19 02:20,5.2,5.2,3.8,3.6,89,0.0,0,1021.3,1016.2,0.0,0.0,188,0,0,0,0,0.8,37.1,232.7
2026-08-19 02:30,5.0,5.0,3.1,3.7,91,0.0,0,1021.2,1016.1,2.5,1.8,214,0,0,0,0,0.8,37.1,232.7
2026-08-19 02:40,4.6,4.6,3.1,3.3,91,0.0,0,1021.5,1016.4,0.4,0.0,213,0,0,0,0,0.8,37.1,232.7
2026-08-19 02:50,4.0,4.0,2.4,2.8,92,0.0,0,1021.5,1016.4,0.0,0.0,213,0,0,0,0,0.8,37.1,232.7
2026-08-19 03:01,3.8,3.8,2.3,2.8,93,0.0,0,1021.4,1016.3,0.0,0.0,213,0,0,0,0,0.8,37.1,232.7
2026-08-19 03:10,3.6,3.6,1.9,2.6,93,0.0,0,1021.3,1016.2,0.7,0.0,213,0,0,0,0,0.8,37.1,232.7
2026-08-19 03:20,3.3,3.3,1.7,2.4,94,0.0,0,1021.2,1016.1,0.0,0.0,213,0,0,0,0,0.8,37.1,232.7
2026-08-19 03:30,3.3,3.3,1.7,2.4,94,0.0,0,1020.9,1015.8,0.0,0.0,213,0,0,0,0,0.8,37.1,232.7
2026-08-19 03:40,3.4,3.4,1.8,2.5,94,0.0,0,1020.8,1015.7,0.0,0.0,213,0,0,0,0,0.8,37.1,232.7
2026-08-19 03:50,3.1,3.1,1.4,2.2,94,0.0,0,1020.6,1015.5,0.0,0.0,213,0,0,0,0,0.8,37.1,232.7
2026-08-19 04:01,3.4,3.4,1.8,2.7,95,0.0,0,1020.4,1015.3,0.0,0.0,213,0,0,0,0,0.8,37.1,232.7
2026-08-19 04:10,3.6,3.6,2.1,2.9,95,0.0,0,1020.1,1015.0,0.0,0.0,213,0,0,0,0,0.8,37.1,232.7
