Fecha,Temp(C),SensTerm(C),TempApar(C),PtoRocio(C),Hum(%),Solar(Wm2),UV,PresRel(hPa),PresAbs(hPa),Viento(kmh),Rafaga(kmh),Dir(deg),Lluvia_Intens(mmh),Lluvia_1h(mm),Lluvia_Dia(mm),Lluvia_Ev(mm),Lluvia_Sem(mm),Lluvia_Mes(mm),Lluvia_Anio(mm)
2026-08-25 00:01,8.4,7.4,5.9,4.6,77,0.0,0,1019.3,1014.2,6.8,9.4,70,0,0,0,0,0,37.1,232.7
2026-08-25 00:10,8.3,7.0,5.6,4.7,78,0.0,0,1019.1,1014.0,7.9,11.2,86,0,0,0,0,0,37.1,232.7
2026-08-25 00:20,8.2,6.6,5.2,4.6,78,0.0,0,1019.1,1014.0,9.4,11.2,52,0,0,0,0,0,37.1,232.7
2026-08-25 00:30,8.2,6.9,5.5,4.8,79,0.0,0,1018.4,1013.3,7.9,13.0,105,0,0,0,0,0,37.1,232.7
2026-08-25 00:40,8.0,6.7,5.3,4.6,79,0.0,0,1018.6,1013.5,7.9,9.4,98,0,0,0,0,0,37.1,232.7
2026-08-25 00:50,8.1,6.9,5.4,4.7,79,0.0,0,1018.7,1013.6,7.6,7.2,48,0,0,0,0,0,37.1,232.7
2026-08-25 01:01,8.0,7.2,5.6,4.8,80,0.0,0,1018.9,1013.8,6.1,7.2,63,0,0,0,0,0,37.1,232.7
2026-08-25 01:10,8.0,6.8,5.3,4.8,80,0.0,0,1019.1,1014.0,7.6,9.4,64,0,0,0,0,0,37.1,232.7
2026-08-25 01:20,7.9,5.9,4.6,4.8,81,0.0,0,1018.9,1013.8,11.2,13.0,70,0,0,0,0,0,37.1,232.7
2026-08-25 01:31,7.9,6.8,5.4,4.8,81,0.0,0,1018.5,1013.4,6.8,7.2,33,0,0,0,0,0,37.1,232.7
2026-08-25 01:40,7.7,5.8,4.5,4.8,82,0.0,0,1017.8,1012.7,10.4,13.0,60,0,0,0,0,0,37.1,232.7
2026-08-25 01:50,7.6,6.0,4.7,4.9,83,0.0,0,1017.8,1012.7,9.0,13.0,54,0,0,0,0,0,37.1,232.7
2026-08-25 02:01,7.6,6.2,4.9,4.9,83,0.0,0,1017.7,1012.6,7.9,9.4,63,0,0,0,0,0,37.1,232.7
2026-08-25 02:10,7.6,6.7,5.3,4.9,83,0.0,0,1017.8,1012.7,6.1,7.2,51,0,0,0,0,0,37.1,232.7
